Año,Provincia,Distrito,Mes,Día,Min,Max
2020,BARRANCA,BARRANCA,enero,01,18 °C,24 °C
2020,BARRANCA,BARRANCA,enero,08,19 °C,24 °C
2020,BARRANCA,BARRANCA,enero,15,20 °C,24 °C
2020,BARRANCA,BARRANCA,enero,22,20 °C,24 °C
2020,BARRANCA,BARRANCA,enero,31,20 °C,25 °C
2020,BARRANCA,BARRANCA,febrero,01,20 °C,24 °C
2020,BARRANCA,BARRANCA,febrero,08,20 °C,24 °C
2020,BARRANCA,BARRANCA,febrero,15,21 °C,25 °C
2020,BARRANCA,BARRANCA,febrero,22,21 °C,25 °C
2020,BARRANCA,BARRANCA,febrero,29,21 °C,27 °C
2020,BARRANCA,BARRANCA,marzo,01,21 °C,24 °C
2020,BARRANCA,BARRANCA,marzo,08,21 °C,28 °C
2020,BARRANCA,BARRANCA,marzo,15,21 °C,25 °C
2020,BARRANCA,BARRANCA,marzo,22,21 °C,27 °C
2020,BARRANCA,BARRANCA,marzo,31,19 °C,26 °C
2020,BARRANCA,BARRANCA,abril,01,19 °C,26 °C
2020,BARRANCA,BARRANCA,abril,08,20 °C,24 °C
2020,BARRANCA,BARRANCA,abril,15,20 °C,26 °C
2020,BARRANCA,BARRANCA,abril,22,17 °C,23 °C
2020,BARRANCA,BARRANCA,abril,30,16 °C,24 °C
2020,BARRANCA,BARRANCA,mayo,01,18 °C,24 °C
2020,BARRANCA,BARRANCA,mayo,08,18 °C,24 °C
2020,BARRANCA,BARRANCA,mayo,15,17 °C,21 °C
2020,BARRANCA,BARRANCA,mayo,22,15 °C,20 °C
2020,BARRANCA,BARRANCA,mayo,31,15 °C,21 °C
2020,BARRANCA,BARRANCA,junio,01,,21 °C
2020,BARRANCA,BARRANCA,junio,08,16 °C,21 °C
2020,BARRANCA,BARRANCA,junio,15,14 °C,20 °C
2020,BARRANCA,BARRANCA,junio,22,14 °C,19 °C
2020,BARRANCA,BARRANCA,junio,30,16 °C,19 °C
2020,BARRANCA,BARRANCA,julio,01,14 °C,21 °C
2020,BARRANCA,BARRANCA,julio,08,14 °C,17 °C
2020,BARRANCA,BARRANCA,julio,15,15 °C,19 °C
2020,BARRANCA,BARRANCA,julio,22,13 °C,18 °C
2020,BARRANCA,BARRANCA,julio,31,14 °C,19 °C
2020,BARRANCA,BARRANCA,agosto,01,14 °C,19 °C
2020,BARRANCA,BARRANCA,agosto,08,13 °C,20 °C
2020,BARRANCA,BARRANCA,agosto,15,14 °C,17 °C
2020,BARRANCA,BARRANCA,agosto,22,15 °C,18 °C
2020,BARRANCA,BARRANCA,agosto,31,15 °C,17 °C
2020,BARRANCA,BARRANCA,septiembre,01,14 °C,17 °C
2020,BARRANCA,BARRANCA,septiembre,08,15 °C,19 °C
2020,BARRANCA,BARRANCA,septiembre,15,14 °C,19 °C
2020,BARRANCA,BARRANCA,septiembre,22,14 °C,20 °C
2020,BARRANCA,BARRANCA,septiembre,30,15 °C,19 °C
2020,BARRANCA,BARRANCA,octubre,01,15 °C,20 °C
2020,BARRANCA,BARRANCA,octubre,08,14 °C,20 °C
2020,BARRANCA,BARRANCA,octubre,15,15 °C,21 °C
2020,BARRANCA,BARRANCA,octubre,22,14 °C,19 °C
2020,BARRANCA,BARRANCA,octubre,31,15 °C,17 °C
2020,BARRANCA,BARRANCA,noviembre,01,14 °C,18 °C
2020,BARRANCA,BARRANCA,noviembre,08,14 °C,20 °C
2020,BARRANCA,BARRANCA,noviembre,15,15 °C,20 °C
2020,BARRANCA,BARRANCA,noviembre,22,15 °C,20 °C
2020,BARRANCA,BARRANCA,noviembre,30,17 °C,21 °C
2020,BARRANCA,BARRANCA,diciembre,01,17 °C,21 °C
2020,BARRANCA,BARRANCA,diciembre,08,17 °C,21 °C
2020,BARRANCA,BARRANCA,diciembre,15,16 °C,22 °C
2020,BARRANCA,BARRANCA,diciembre,22,17 °C,21 °C
2020,BARRANCA,BARRANCA,diciembre,31,18 °C,22 °C
2021,BARRANCA,BARRANCA,enero,01,17 °C,24 °C
2021,BARRANCA,BARRANCA,enero,08,19 °C,24 °C
2021,BARRANCA,BARRANCA,enero,15,19 °C,21 °C
2021,BARRANCA,BARRANCA,enero,22,18 °C,24 °C
2021,BARRANCA,BARRANCA,enero,31,19 °C,23 °C
2021,BARRANCA,BARRANCA,febrero,01,19 °C,22 °C
2021,BARRANCA,BARRANCA,febrero,08,20 °C,26 °C
2021,BARRANCA,BARRANCA,febrero,15,20 °C,25 °C
2021,BARRANCA,BARRANCA,febrero,22,19 °C,25 °C
2021,BARRANCA,BARRANCA,febrero,28,20 °C,25 °C
2021,BARRANCA,BARRANCA,marzo,01,20 °C,27 °C
2021,BARRANCA,BARRANCA,marzo,08,20 °C,27 °C
2021,BARRANCA,BARRANCA,marzo,15,20 °C,26 °C
2021,BARRANCA,BARRANCA,marzo,22,21 °C,27 °C
2021,BARRANCA,BARRANCA,marzo,31,19 °C,24 °C
2021,BARRANCA,BARRANCA,abril,01,18 °C,24 °C
2021,BARRANCA,BARRANCA,abril,08,18 °C,23 °C
2021,BARRANCA,BARRANCA,abril,15,18 °C,23 °C
2021,BARRANCA,BARRANCA,abril,22,18 °C,21 °C
2021,BARRANCA,BARRANCA,abril,30,17 °C,21 °C
2021,BARRANCA,BARRANCA,mayo,01,17 °C,22 °C
2021,BARRANCA,BARRANCA,mayo,08,16 °C,21 °C
2021,BARRANCA,BARRANCA,mayo,15,15 °C,20 °C
2021,BARRANCA,BARRANCA,mayo,22,16 °C,20 °C
2021,BARRANCA,BARRANCA,mayo,31,16 °C,20 °C
2021,BARRANCA,BARRANCA,junio,01,15 °C,19 °C
2021,BARRANCA,BARRANCA,junio,08,15 °C,20 °C
2021,BARRANCA,BARRANCA,junio,15,16 °C,21 °C
2021,BARRANCA,BARRANCA,junio,22,17 °C,20 °C
2021,BARRANCA,BARRANCA,junio,30,16 °C,19 °C
2021,BARRANCA,BARRANCA,julio,01,16 °C,20 °C
2021,BARRANCA,BARRANCA,julio,08,15 °C,20 °C
2021,BARRANCA,BARRANCA,julio,15,15 °C,18 °C
2021,BARRANCA,BARRANCA,julio,22,15 °C,19 °C
2021,BARRANCA,BARRANCA,julio,31,16 °C,19 °C
2021,BARRANCA,BARRANCA,agosto,01,15 °C,19 °C
2021,BARRANCA,BARRANCA,agosto,08,14 °C,17 °C
2021,BARRANCA,BARRANCA,agosto,15,15 °C,18 °C
2021,BARRANCA,BARRANCA,agosto,22,14 °C,20 °C
2021,BARRANCA,BARRANCA,agosto,31,15 °C,19 °C
2021,BARRANCA,BARRANCA,septiembre,01,15 °C,19 °C
2021,BARRANCA,BARRANCA,septiembre,08,14 °C,16 °C
2021,BARRANCA,BARRANCA,septiembre,15,16 °C,19 °C
2021,BARRANCA,BARRANCA,septiembre,22,15 °C,19 °C
2021,BARRANCA,BARRANCA,septiembre,30,16 °C,21 °C
2021,BARRANCA,BARRANCA,octubre,01,16 °C,20 °C
2021,BARRANCA,BARRANCA,octubre,08,15 °C,19 °C
2021,BARRANCA,BARRANCA,octubre,15,15 °C,19 °C
2021,BARRANCA,BARRANCA,octubre,22,14 °C,20 °C
2021,BARRANCA,BARRANCA,octubre,31,16 °C,21 °C
2021,BARRANCA,BARRANCA,noviembre,01,14 °C,20 °C
2021,BARRANCA,BARRANCA,noviembre,08,15 °C,20 °C
2021,BARRANCA,BARRANCA,noviembre,15,15 °C,20 °C
2021,BARRANCA,BARRANCA,noviembre,22,16 °C,19 °C
2021,BARRANCA,BARRANCA,noviembre,30,15 °C,20 °C
2021,BARRANCA,BARRANCA,diciembre,01,,21 °C
2021,BARRANCA,BARRANCA,diciembre,08,17 °C,21 °C
