,Año,Provincia,Distrito,Semana,Casos
0,2023,LIMA,SAN JUAN DE LURIGANCHO,1,1.0
1,2023,LIMA,SANTIAGO DE SURCO,1,1.0
2,2023,LIMA,ATE,1,2.0
3,2023,LIMA,LURIGANCHO,1,2.0
4,2023,LIMA,SAN MARTIN DE PORRES,1,1.0
5,2023,LIMA,CHORRILLOS,2,1.0
6,2023,LIMA,COMAS,2,1.0
7,2023,LIMA,VILLA MARIA DEL TRIUNFO,2,1.0
8,2023,LIMA,ATE,2,1.0
9,2023,HUAROCHIRI,SANTA EULALIA,2,1.0
10,2023,LIMA,SAN JUAN DE LURIGANCHO,3,1.0
11,2023,LIMA,CARABAYLLO,4,1.0
12,2023,LIMA,SAN MARTIN DE PORRES,4,1.0
13,2023,LIMA,SAN JUAN DE MIRAFLORES,4,1.0
14,2023,LIMA,VILLA MARIA DEL TRIUNFO,5,1.0
15,2023,LIMA,ATE,5,1.0
16,2023,HUAROCHIRI,SAN MATEO,5,1.0
17,2023,LIMA,VILLA MARIA DEL TRIUNFO,6,3.0
18,2023,LIMA,ATE,6,3.0
19,2023,LIMA,CHACLACAYO,6,2.0
20,2023,LIMA,SAN JUAN DE MIRAFLORES,6,1.0
21,2023,LIMA,COMAS,6,1.0
22,2023,LIMA,SAN MIGUEL,6,1.0
23,2023,LIMA,LURIGANCHO,6,3.0
24,2023,LIMA,COMAS,7,1.0
25,2023,LIMA,LURIGANCHO,7,1.0
26,2023,LIMA,ATE,7,4.0
27,2023,LIMA,CHACLACAYO,7,5.0
28,2023,LIMA,VILLA EL SALVADOR,7,1.0
29,2023,LIMA,MIRAFLORES,8,1.0
30,2023,LIMA,SURQUILLO,8,1.0
31,2023,LIMA,LURIN,8,1.0
32,2023,LIMA,SAN JUAN DE MIRAFLORES,8,1.0
33,2023,LIMA,LOS OLIVOS,8,1.0
34,2023,LIMA,EL AGUSTINO,8,1.0
35,2023,LIMA,SAN JUAN DE LURIGANCHO,8,2.0
