Distrito,Provincia,Diris
ANCON,LIMA,NORTE
ATE,LIMA,ESTE
BARRANCO,LIMA,SUR
BELLAVISTA,CALLAO,CALLAO
BREÑA,LIMA,CENTRO
CALLAO,CALLAO,CALLAO
CARABAYLLO,LIMA,NORTE
CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO
CHACLACAYO,LIMA,ESTE
CHORRILLOS,LIMA,SUR
CIENEGUILLA,LIMA,ESTE
COMAS,LIMA,NORTE
EL AGUSTINO,LIMA,ESTE
INDEPENDENCIA,LIMA,NORTE
JESUS MARIA,LIMA,CENTRO
LA MOLINA,LIMA,ESTE
LA PERLA,CALLAO,CALLAO
LA PUNTA,CALLAO,CALLAO
LA VICTORIA,LIMA,CENTRO
LIMA,LIMA,CENTRO
LINCE,LIMA,CENTRO
LOS OLIVOS,LIMA,NORTE
LURIGANCHO,LIMA,ESTE
LURIN,LIMA,SUR
MAGDALENA DEL MAR,LIMA,CENTRO
MI PERU,CALLAO,CALLAO
MIRAFLORES,LIMA,CENTRO
PACHACAMAC,LIMA,SUR
PUCUSANA,LIMA,SUR
PUEBLO LIBRE,LIMA,CENTRO
PUENTE PIEDRA,LIMA,NORTE
PUNTA HERMOSA,LIMA,SUR
PUNTA NEGRA,LIMA,SUR
RIMAC,LIMA,NORTE
SAN BARTOLO,LIMA,SUR
SAN BORJA,LIMA,CENTRO
SAN ISIDRO,LIMA,CENTRO
SAN JUAN DE LURIGANCHO,LIMA,CENTRO
SAN JUAN DE MIRAFLORES,LIMA,SUR
SAN LUIS,LIMA,CENTRO
SAN MARTIN DE PORRES,LIMA,NORTE
SAN MIGUEL,LIMA,CENTRO
SANTA ANITA,LIMA,ESTE
SANTA MARIA DEL MAR,LIMA,SUR
SANTA ROSA,LIMA,NORTE
SANTIAGO DE SURCO,LIMA,SUR
SURQUILLO,LIMA,CENTRO
VENTANILLA,CALLAO,CALLAO
VILLA EL SALVADOR,LIMA,SUR
VILLA MARIA DEL TRIUNFO,LIMA,SUR
