,Año,Semana,Ubigeo,Casos
0,2021,1,150102,0.0
1,2021,1,150103,0.0
2,2021,1,150104,0.0
3,2021,1,70102,0.0
4,2021,1,150105,0.0
5,2021,1,70101,0.0
6,2021,1,150106,0.0
7,2021,1,70103,0.0
8,2021,1,150107,0.0
9,2021,1,150108,0.0
10,2021,1,150109,0.0
11,2021,1,150110,0.0
12,2021,1,150111,0.0
13,2021,1,150112,0.0
14,2021,1,150113,0.0
15,2021,1,150114,0.0
16,2021,1,70104,0.0
17,2021,1,70105,0.0
18,2021,1,150115,0.0
19,2021,1,150101,0.0
20,2021,1,150116,0.0
21,2021,1,150117,0.0
22,2021,1,150118,0.0
23,2021,1,150119,0.0
24,2021,1,150120,0.0
25,2021,1,70107,0.0
26,2021,1,150122,0.0
27,2021,1,150123,0.0
28,2021,1,150124,0.0
29,2021,1,150121,0.0
30,2021,1,150125,0.0
31,2021,1,150126,0.0
32,2021,1,150127,0.0
33,2021,1,150128,0.0
34,2021,1,150129,0.0
35,2021,1,150130,0.0
36,2021,1,150131,0.0
37,2021,1,150132,0.0
38,2021,1,150133,0.0
39,2021,1,150134,0.0
40,2021,1,150135,0.0
41,2021,1,150136,0.0
42,2021,1,150137,0.0
43,2021,1,150138,0.0
44,2021,1,150139,0.0
45,2021,1,150140,0.0
46,2021,1,150141,0.0
47,2021,1,70106,0.0
48,2021,1,150142,0.0
49,2021,1,150143,0.0
50,2021,2,150102,0.0
51,2021,2,150103,0.0
52,2021,2,150104,0.0
53,2021,2,70102,0.0
54,2021,2,150105,0.0
55,2021,2,70101,0.0
56,2021,2,150106,0.0
57,2021,2,70103,0.0
58,2021,2,150107,0.0
59,2021,2,150108,0.0
60,2021,2,150109,0.0
61,2021,2,150110,0.0
62,2021,2,150111,0.0
63,2021,2,150112,0.0
64,2021,2,150113,0.0
65,2021,2,150114,0.0
66,2021,2,70104,0.0
67,2021,2,70105,0.0
68,2021,2,150115,0.0
69,2021,2,150101,0.0
70,2021,2,150116,0.0
