Año,Semana,Ubigeo,casos,pluvio_min,pluvio_max,temp_min,temp_max,humedad,agua_procedencia_1,conexión_sanitario_1,satisf_barrido,satisf_basura,agua_potable,barrido_calle,basura_recolec,separacion_basura,exposicion_basurales,exposicion_inundaciones,exposicion_precipicios,exposicion_deslizamientos,vivienda_pared,vivienda_techo,tipo_envase,prueba_cloro,indice_riqueza,sanitario_compartido,purificacion_agua,conserva_agua,tapa_agua
2021,19,150102,0.0,0.0,0.0,17.0,21.0,14.0,1,1,3,3,1.0,0.6749611377034073,0.9887973121547656,0.3729119821525448,0.0951551936698249,0.059854286067875,0.009197504749312,0.0804933632135097,2,1,3,1,2,0.11216839979926,0.9834517202945744,1.0,0.9853529516534404
2021,19,150103,7.0,0.0,0.0,15.0,21.0,13.0,1,1,3,3,1.0,0.8387199999999999,0.9751665170922738,0.26976,0.0793292100210188,0.0628442918984688,0.0068934089975169,0.0677707236234706,2,1,3,1,3,0.1044708714852467,0.9898531705597572,0.9642005165363922,0.9565283841564004
2021,19,150104,0.0,0.0,0.0,16.75,18.0,16.0,1,1,3,3,1.0,0.8471290358126723,0.9895715536648868,0.3277806044056408,0.0638692062330654,0.0254857524219324,0.0034990075272784,0.0256673736992462,2,1,3,1,3,0.1878350528498457,0.9559626763768776,0.9057096364265768,0.8804272681642097
2021,19,70102,0.0,0.0,0.0,17.0,17.0,15.0,1,1,3,3,1.0,0.9990821428349852,0.9985835230803314,0.2675106219714656,0.0583700193335474,0.0169264475414835,0.0030076510217368,0.015462578928348,2,1,3,1,4,0.0688704503090597,0.9331671139511376,0.9503924346089868,0.9160425895525276
2021,19,150105,0.0,0.0,0.0,14.0,18.0,14.0,1,1,3,3,1.0,0.9691944903581268,0.9904415304279234,0.3342599464113533,0.065587245211,0.0239005578024377,0.0042422689410599,0.0282913096239274,2,1,3,0,4,0.05007754639654,0.974685982423058,0.974915062747903,0.9007642409044518
2021,19,70101,0.0,0.0,0.0,17.0,17.0,15.0,1,1,3,3,1.0,0.9832258064516128,1.0,0.4927587096774194,0.0780526286205024,0.0425942730490165,0.0021120733889918,0.0295738225117115,2,1,3,1,4,0.1278670399130615,0.976779159249483,0.96868067395622,0.957476054567004
2021,19,150106,2.0,0.0,0.0,17.0,21.0,11.0,1,1,2,3,1.0,0.7168000000000001,0.903035996950488,0.1560068684522823,0.0998252108085647,0.0732355005173955,0.0080864935816189,0.0833115283416655,2,2,3,1,2,0.0724682417471639,0.967721757710704,0.9385676416807728,0.9002760506808458
2021,19,70103,0.0,0.0,0.0,15.0,18.0,14.0,1,1,3,3,1.0,0.9958659237536658,0.9985160243550488,0.3727195627124624,0.079965858891536,0.028376058834206,0.002273345693091,0.013685042546047,2,1,3,1,3,0.1790358928539781,0.9748820966257622,0.9339841977945632,0.9363047922327626
2021,19,150107,6.0,0.0,0.0,17.0,22.0,9.0,1,1,3,3,1.0,0.5904932713893115,0.9905016894525662,0.3964700131060369,0.0702560077981916,0.0421566831340773,0.0054028319051492,0.0728303064846368,2,1,3,1,4,0.0949241825822563,0.9628560389376424,0.9286259763665948,0.9249561308503615
2021,19,150108,0.0,0.0,0.0,17.0,18.0,15.0,1,5,3,3,1.0,0.1134333735424205,1.0,0.4585120190400634,0.1302039686895456,0.0433348164873298,0.0104716829447914,0.0499603341940257,2,1,3,1,4,0.145847492484772,0.9875628344265012,0.96542877424426,0.9475893605277992
2021,19,150109,2.0,0.0,0.0,16.0,21.0,11.0,1,1,3,3,1.0,0.7412001560656802,0.9905016894525662,0.3710068333249911,0.0724699552524125,0.0615894065796083,0.0089781742214665,0.0798762067995261,2,1,3,1,4,0.0294609491615368,0.9892157009622822,0.9944323175532114,0.9884583333362762
2021,19,150110,1.0,0.0,0.0,16.5,20.0,16.0,1,1,3,3,1.0,0.3998266696448515,1.0,0.3648181818181817,0.0878813977306308,0.0408781603243333,0.0054736475031475,0.0539169595132072,2,1,3,1,2,0.1669008809087535,0.9835870798326388,0.9589382157582136,0.9415355698720272
2021,19,150111,0.0,0.0,0.0,13.0,19.0,12.0,1,1,3,3,1.0,0.9841951515151516,0.9985160243550488,0.4177714915366828,0.0599150220568253,0.0209759877759373,0.0018308948975818,0.0160223430847274,2,1,3,0,3,0.167203314210185,1.0,0.9180493626879116,0.9191537350002232
2021,19,150112,1.0,0.0,0.0,15.0,19.0,13.0,1,1,2,3,1.0,0.1785142213581846,1.0,0.3972728384341402,0.0838661404439257,0.0412668706767665,0.0071297022299786,0.0552960822461235,2,1,3,1,4,0.1449529930224876,0.9884513040350849,0.9846867654229003,0.9766235934919062
2021,19,150113,0.0,0.0,0.0,15.0,18.0,14.0,1,1,3,3,1.0,0.9700014483731788,0.9905016894525662,0.3282560079503498,0.0556935619457651,0.021914713104021,0.0027399717643451,0.0249408745383872,2,1,3,0,4,0.0,1.0,0.9059672991579428,0.9059672991579428
2021,19,150114,2.0,0.0,0.0,15.0,20.0,15.0,1,1,3,3,1.0,0.6760902807984147,0.9919255060728744,0.3297917961482109,0.0674059075714356,0.0264693638875813,0.0042576755872426,0.0407484440934239,2,1,3,1,4,0.0175592457682914,1.0,0.941541377446518,0.9438536569754208
2021,19,70104,0.0,0.0,0.0,16.0,17.0,16.0,1,1,3,3,1.0,1.0,1.0,0.3430301495879012,0.0700172912794136,0.0199345615179521,0.0043366809408618,0.0117584433771921,2,1,3,1,4,0.0337591505586415,0.9421040346243093,0.9317371390829392,0.9135415739018292
2021,19,70105,0.0,0.0,0.0,16.0,17.0,16.0,1,1,3,3,1.0,0.9787662999744338,0.9905016894525662,0.33075344443445,0.072733604933055,0.0381520753927628,0.0039698725279941,0.0288317949270709,2,1,3,5,4,0.0,0.837823841346053,0.8127027768641046,0.7125107020939208
2021,19,150115,0.0,0.0,0.0,16.5,19.0,14.0,1,1,3,3,1.0,1.0,1.0,0.125,0.0430342567644306,0.0127324263514203,0.0006681277864637,0.0125495008789299,2,1,3,1,2,0.2497891015411263,0.9634671327882772,0.9532253334967262,0.9425455603795384
2021,19,150101,0.0,0.0,0.0,17.0,18.0,14.0,1,1,3,3,1.0,0.7994341199830749,0.993841255174846,0.3638431249230422,0.0662777409123533,0.0265684752744411,0.0039640868940321,0.042045340267231,2,1,3,2,4,0.0501762304123294,0.9946493753662146,0.9934197102632116,0.9458509402767789
