Año,Semana,Ubigeo,HV201,HV205,HV213,HV214,HV215,SH49,SH227,HV270,HV225,HV237,SH48,SH50
2021,1,150102,1,1,5,2,1,3,1,2,0.07692307692307693,0.9615384615384616,1.0,1.0
2021,1,150103,1,1,5,2,1,3,1,3,0.1386138613861386,0.9901960784313726,1.0,0.9923076923076923
2021,1,150104,1,1,2,2,1,3,1,3,0.1111111111111111,1.0,0.9484697471201272,0.9029592624277946
2021,1,70102,1,1,5,2,1,3,1,4,0.05303030303030303,0.9545454545454546,0.9452054794520548,0.8767123287671232
2021,1,150105,1,1,4,2,1,3,0,4,0.1153846153846154,1.0,1.0,0.9565217391304348
2021,1,70101,1,1,5,2,1,3,1,4,0.1053921568627451,0.9853300733496333,0.975103734439834,0.970954356846473
2021,1,150106,1,1,5,2,2,3,1,2,0.0625,0.9609375,0.8974358974358975,0.8461538461538461
2021,1,70103,1,1,5,2,1,3,1,3,0.1728395061728395,0.9876543209876543,0.8958333333333334,0.8958333333333334
2021,1,150107,1,1,5,2,1,3,1,4,0.06451612903225806,0.9354838709677419,0.8888888888888888,0.8888888888888888
2021,1,150108,1,1,5,2,1,3,1,4,0.136986301369863,1.0,0.9642857142857143,0.9285714285714286
2021,1,150109,1,1,5,2,1,3,1,4,0.07982203831741848,0.978496245971192,0.9888981125775986,0.9769860646342267
2021,1,150110,1,1,5,2,1,3,1,2,0.185929648241206,0.9748743718592965,0.9519230769230769,0.9326923076923077
2021,1,150111,1,1,5,2,1,3,0,3,0.2121212121212121,1.0,1.0,1.0
2021,1,150112,1,1,4,2,1,3,1,4,0.09090909090909091,1.0,1.0,1.0
2021,1,150113,1,1,2,2,1,3,0,4,0.0,1.0,0.8125,0.8125
2021,1,150114,1,1,4,2,1,3,1,4,0.0,1.0,0.9285714285714286,0.9285714285714286
2021,1,70104,1,1,5,2,1,3,1,4,0.03370786516853932,0.9325842696629213,0.9347826086956522,0.9130434782608695
2021,1,70105,1,1,2,2,1,3,5,4,0.0,1.0,0.8,0.6
2021,1,150115,1,1,5,2,1,3,1,2,0.4150943396226415,0.9622641509433962,0.9615384615384616,0.9615384615384616
2021,1,150101,1,1,4,2,1,3,2,4,0.02469135802469136,0.9876543209876543,1.0,0.9444444444444444
2021,1,150116,1,1,2,2,1,3,2,4,0.0,1.0,0.9565217391304348,0.9565217391304348
2021,1,150117,1,1,4,2,1,3,1,4,0.144578313253012,0.9940119760479041,0.9838709677419355,0.967741935483871
2021,1,150118,1,1,5,2,1,3,3,2,0.116504854368932,0.9904761904761905,1.0,1.0
2021,1,150119,1,1,5,2,2,3,3,1,0.06666666666666667,1.0,1.0,1.0
2021,1,150120,1,1,2,2,1,3,0,4,0.0,1.0,1.0,1.0
2021,1,70107,1,1,5,2,2,3,1,2,0.1,0.96,0.925,0.925
2021,1,150122,1,1,2,2,1,3,0,4,0.02040816326530612,0.9591836734693877,0.8125,0.75
2021,1,150123,1,1,5,2,2,3,1,2,0.07142857142857142,0.9761904761904762,1.0,0.9629629629629629
2021,1,150124,1,1,5,2,2,3,1,3,0.0,1.0,1.0,1.0
2021,1,150121,1,1,2,2,1,3,0,4,0.0,1.0,1.0,1.0
2021,1,150125,1,1,5,2,1,3,1,2,0.1751412429378531,0.9830508474576272,0.984251968503937,0.9606299212598425
2021,1,150126,1,1,5,2,1,3,1,1,0.0859682063595634,0.9775939509556544,0.9798043984287143,0.9717459192323149
2021,1,150127,1,1,5,2,1,3,1,1,0.0859682063595634,0.9775939509556544,0.9798043984287143,0.9731445206309164
2021,1,150128,1,1,5,2,1,3,1,2,0.1311475409836066,0.9836065573770492,1.0,1.0
2021,1,150129,3,2,5,2,1,3,1,1,0.0,0.8333333333333334,0.9517224909678627,0.9232195417854957
2021,1,150130,1,1,2,2,1,3,1,4,0.1111111111111111,1.0,0.7894736842105263,0.7368421052631579
2021,1,150131,1,1,2,2,1,3,0,4,0.0,1.0,1.0,1.0
2021,1,150132,1,1,5,2,1,3,1,1,0.120253164556962,0.9908536585365854,0.9950980392156863,0.9803921568627451
2021,1,150133,1,1,5,2,1,3,1,3,0.04347826086956522,0.9891304347826086,0.9523809523809523,0.9047619047619048
2021,1,150134,1,1,3,2,1,3,1,3,0.25,1.0,1.0,0.875
2021,1,150135,1,1,5,2,1,3,1,4,0.124113475177305,0.9929078014184397,0.9765625,0.9609375
2021,1,150136,1,1,2,2,1,3,0,4,0.05128205128205128,0.9743589743589743,1.0,1.0
2021,1,150137,1,1,5,2,1,3,1,3,0.1774193548387097,0.9516129032258065,0.9714285714285714,0.9714285714285714
2021,1,150138,1,1,5,2,1,3,1,3,0.0964317392678827,0.9764102045523897,0.972078545292733,0.9493848825722274
2021,1,150139,1,1,5,2,1,3,1,1,0.05882352941176471,1.0,0.9,0.9
2021,1,150140,1,1,5,2,1,3,1,4,0.008547008547008548,0.9914529914529915,0.9230769230769231,0.9230769230769231
2021,1,150141,1,1,1,2,1,3,2,4,0.0,1.0,0.9408337305789929,0.878256329498532
