Fecha,Ubigeo,Semana,Clima,Pluvio_Min,Pluvio_Max,Nubosidad,Presión,Viento_Min,Viento_Max,Temp_Min,Temp_Max,Punto_Rocío
2020-01-01,150102,1,Niebla,0.0,0.0,0.8,1012.0,3.0,11.0,18.0,24.0,17.0
2020-01-08,150102,2,Niebla,0.0,0.0,0.5,1013.0,5.0,15.0,18.0,25.0,17.0
2020-01-15,150102,3,,,,,1009.0,3.0,12.0,,,
2020-01-16,150102,3,Niebla,0.0,0.0,0.3,,,,19.25,26.0,19.0
2020-01-22,150102,4,,,,,1012.0,2.0,8.0,,,
2020-01-23,150102,4,Despejado,0.0,0.0,1.0,,,,21.0,27.0,18.0
2020-01-31,150102,5,Niebla,0.0,0.0,0.8,1010.0,2.0,13.0,20.0,28.0,20.0
2020-02-01,150102,5,Niebla,0.0,0.0,1.0,1011.0,4.0,9.0,20.0,26.0,19.0
2020-02-08,150102,6,Niebla,0.0,0.8,0.8,1010.0,2.0,11.0,20.0,27.0,18.0
2020-02-15,150102,7,Niebla,0.0,0.0,0.5,1009.0,3.0,13.0,20.666666666666668,26.0,19.0
2020-02-22,150102,8,Despejado,0.0,0.0,1.0,1011.0,1.0,11.0,22.0,27.0,19.0
2020-02-29,150102,9,Despejado,0.0,0.0,0.7,1011.0,3.0,13.0,20.666666666666668,27.0,20.0
2020-03-01,150102,9,Niebla,0.0,0.0,0.9,1012.0,0.0,13.0,,26.0,20.0
2020-03-08,150102,10,Despejado,0.0,0.0,0.2,1009.0,2.0,14.0,,30.0,20.0
2020-03-15,150102,11,,,,,1012.0,4.0,11.0,,,
2020-03-16,150102,12,Niebla,0.0,0.0,1.0,,,,,24.0,19.0
2020-03-22,150102,12,,,,,1011.0,1.0,12.0,,,
2020-03-23,150102,13,Despejado,0.025,0.0,0.1,,,,,28.0,17.0
2020-03-31,150102,14,Despejado,0.1,0.0,0.6,1011.0,2.0,12.0,,27.0,19.0
2020-04-01,150102,14,Despejado,0.0,0.0,0.9,1010.0,3.0,11.0,20.0,28.0,19.0
2020-04-08,150102,15,Niebla,0.0,0.0,0.9,1011.0,3.0,15.0,18.5,25.0,18.0
2020-04-15,150102,16,Despejado,0.0,0.0,0.1,1012.0,4.0,11.0,18.5,28.0,17.0
2020-04-22,150102,17,Despejado,0.0,0.0,0.4,1013.0,2.0,10.0,17.0,24.0,16.0
2020-04-30,150102,18,Despejado,0.0,0.0,0.5,1012.0,2.0,10.0,18.5,25.0,16.0
2020-05-01,150102,18,Despejado,0.0,0.0,0.2,1013.0,3.0,10.0,17.0,25.0,16.0
2020-05-08,150102,19,Despejado,0.0,0.0,1.0,1011.0,1.0,11.0,19.0,24.0,16.0
2020-05-15,150102,20,,,,,1012.0,3.0,9.0,,,
2020-05-16,150102,20,Niebla,0.0,0.0,0.6,,,,17.0,20.0,15.0
2020-05-22,150102,21,,,,,1013.0,3.0,9.0,,,
