Fecha,Semana,Provincia,Distrito,Min,Max
2020-01-01,1,HUARAL,LAMPIAN,13 °C,12 °C
2020-01-08,2,HUARAL,LAMPIAN,,17 °C
2020-01-16,3,HUARAL,LAMPIAN,14 °C,21 °C
2020-01-23,4,HUARAL,LAMPIAN,12 °C,11 °C
2020-01-31,5,HUARAL,LAMPIAN,13 °C,17 °C
2020-02-01,5,HUARAL,LAMPIAN,13 °C,15 °C
2020-02-08,6,HUARAL,LAMPIAN,13 °C,15 °C
2020-02-15,7,HUARAL,LAMPIAN,13 °C,17 °C
2020-02-22,8,HUARAL,LAMPIAN,13 °C,16 °C
2020-02-29,9,HUARAL,LAMPIAN,14 °C,16 °C
2020-03-01,9,HUARAL,LAMPIAN,14 °C,16 °C
2020-03-08,10,HUARAL,LAMPIAN,13 °C,15 °C
2020-03-16,12,HUARAL,LAMPIAN,13 °C,12 °C
2020-03-23,13,HUARAL,LAMPIAN,11 °C,16 °C
2020-03-31,14,HUARAL,LAMPIAN,13 °C,16 °C
2020-04-01,14,HUARAL,LAMPIAN,12 °C,16 °C
2020-04-08,15,HUARAL,LAMPIAN,15 °C,17 °C
2020-04-15,16,HUARAL,LAMPIAN,12 °C,16 °C
2020-04-22,17,HUARAL,LAMPIAN,14 °C,19 °C
2020-04-30,18,HUARAL,LAMPIAN,13 °C,19 °C
2020-05-01,18,HUARAL,LAMPIAN,13 °C,18 °C
2020-05-08,19,HUARAL,LAMPIAN,14 °C,19 °C
2020-05-16,20,HUARAL,LAMPIAN,13 °C,20 °C
2020-05-23,21,HUARAL,LAMPIAN,16 °C,21 °C
2020-05-31,22,HUARAL,LAMPIAN,12 °C,17 °C
2020-06-01,23,HUARAL,LAMPIAN,12 °C,18 °C
2020-06-08,24,HUARAL,LAMPIAN,13 °C,20 °C
2020-06-15,25,HUARAL,LAMPIAN,12 °C,19 °C
2020-06-22,26,HUARAL,LAMPIAN,14 °C,19 °C
2020-06-30,27,HUARAL,LAMPIAN,12 °C,18 °C
2020-07-01,27,HUARAL,LAMPIAN,,19 °C
2020-07-08,28,HUARAL,LAMPIAN,12 °C,17 °C
2020-07-16,29,HUARAL,LAMPIAN,12 °C,20 °C
2020-07-23,30,HUARAL,LAMPIAN,10 °C,17 °C
2020-07-31,31,HUARAL,LAMPIAN,16 °C,21 °C
2020-08-01,31,HUARAL,LAMPIAN,16 °C,21 °C
2020-08-08,32,HUARAL,LAMPIAN,,22 °C
2020-08-16,33,HUARAL,LAMPIAN,14 °C,18 °C
2020-08-23,34,HUARAL,LAMPIAN,10 °C,16 °C
2020-08-31,36,HUARAL,LAMPIAN,14 °C,20 °C
2020-09-01,36,HUARAL,LAMPIAN,15 °C,18 °C
2020-09-08,37,HUARAL,LAMPIAN,11 °C,16 °C
2020-09-15,38,HUARAL,LAMPIAN,13 °C,19 °C
2020-09-22,39,HUARAL,LAMPIAN,12 °C,17 °C
2020-09-30,40,HUARAL,LAMPIAN,12 °C,18 °C
2020-10-01,40,HUARAL,LAMPIAN,11 °C,18 °C
2020-10-08,41,HUARAL,LAMPIAN,12 °C,18 °C
2020-10-16,42,HUARAL,LAMPIAN,13 °C,20 °C
2020-10-23,43,HUARAL,LAMPIAN,14 °C,19 °C
2020-10-31,44,HUARAL,LAMPIAN,13 °C,15 °C
2020-11-01,44,HUARAL,LAMPIAN,13 °C,18 °C
2020-11-08,45,HUARAL,LAMPIAN,13 °C,21 °C
2020-11-15,46,HUARAL,LAMPIAN,10 °C,15 °C
2020-11-22,47,HUARAL,LAMPIAN,13 °C,16 °C
2020-11-30,49,HUARAL,LAMPIAN,12 °C,17 °C
2020-12-01,49,HUARAL,LAMPIAN,,14 °C
2020-12-08,50,HUARAL,LAMPIAN,12 °C,13 °C
2020-12-16,51,HUARAL,LAMPIAN,12 °C,14 °C
2020-12-23,52,HUARAL,LAMPIAN,11 °C,15 °C
2020-12-31,53,HUARAL,LAMPIAN,10 °C,15 °C
2021-01-01,53,HUARAL,LAMPIAN,12 °C,15 °C
2021-01-08,1,HUARAL,LAMPIAN,11 °C,15 °C
