,exposicion_basurales,exposicion_inundaciones,exposicion_precipicios,exposicion_deslizamientos,presión,sanitario_compartido,conserva_agua,vivienda_techo,prueba_cloro,agua_procedencia_1,conexión_sanitario_1,casos,separacion_basura,purificacion_agua,pluvio_min,pluvio_max,temp_max,temp_min,humedad,informacion_basura,satisf_barrido,satisf_basura,vivienda_pared,agua_potable,basura_recolec,barrido_calle,indice_riqueza,viento_min,viento_max
exposicion_basurales,1.0,0.40706639567647285,0.276871804889046,0.3710692434281581,0.13186665473920064,0.15729480042935123,0.23586103200292866,0.1800692840970913,0.15234034085465797,0.03833733360318103,0.06413604750534904,0.014943745413912893,0.0741254016056244,-0.020769156844196474,-0.03700862580477887,-0.011145730629487703,-0.06143938714933288,-0.13258027397510963,-0.1570281429763759,-0.08842495724663599,-0.20275653924047685,-0.07990775435046467,-0.07032125192646418,-0.17551809116469444,-0.15494263241079884,-0.2771937579183028,-0.2677522897074478,-0.1820313700326444,-0.07335332021064164
exposicion_inundaciones,0.40706639567647285,1.0,0.47709853519158596,0.5047060264714268,0.08658034481177837,0.08712972673199784,0.2216849933895402,0.15501316499598983,0.14166630253406762,-0.009753239956576076,0.012162154002808161,0.09324226013507494,0.16598863187588672,0.031861267523447936,-0.028807416054017418,0.030175773152962892,0.04188582075870226,-0.010837658298428192,-0.06120767492570495,-0.09406080831946009,-0.03585807024472785,0.01693466314400075,-0.055754662580117145,-0.19554142128125804,-0.24258496693304943,-0.416606597125119,-0.3232342352709363,-0.2374773601721093,-0.08633756168718486
exposicion_precipicios,0.276871804889046,0.47709853519158596,1.0,0.6708336344201831,0.03271099561667524,-0.015451171931213196,0.22495929736268944,0.21248616096242068,0.1262731201837989,-0.01208153872778193,0.006955538782802888,0.11870858738797542,0.16393366698610165,0.13049443134372868,0.004464718533277881,0.032506377252599,0.14733003627006416,0.06988628721994478,0.02399027162595385,0.02861593834298086,-0.05090400226287245,0.00044911094096126796,-0.09170693215011984,-0.3459348802835604,-0.2828287318250359,-0.4478853995299934,-0.28014171209319866,-0.17354588046487063,0.0056646090096520085
exposicion_deslizamientos,0.3710692434281581,0.5047060264714268,0.6708336344201831,1.0,0.15210991487636663,0.07967651878306789,0.2777825942548884,0.2731065196579218,0.18467784438384144,0.056133138845997146,0.08782930992116537,0.0913043081731228,0.21562164984007945,0.11418514589067891,-0.030480258932107488,0.03423091060737535,0.01916786873530459,-0.10219475015398094,-0.15706843258299424,-0.09274300557027729,-0.1108389703122658,-0.049413551743568505,-0.08101728506163774,-0.18816559558141752,-0.2871045585658662,-0.48681227614752093,-0.4038917602488044,-0.2784025980145539,-0.06719515553265618
presión,0.13186665473920064,0.08658034481177837,0.03271099561667524,0.15210991487636663,1.0,-0.002966789303123454,0.04709272820560623,0.06868708513999316,0.025388800383694194,0.004220769752620092,0.0350383134951569,-0.10790267920046967,0.021528093688185423,0.0562091245444514,-0.13835682477085404,-0.002889879853595267,-0.47348990464356716,-0.48279166941659685,-0.4937621321970429,0.0018571006108347755,-0.03798763987000738,-0.01293443076196925,-0.05092551901099638,0.002478952494317213,-0.0897716940649428,-0.0879194800766153,-0.061270200353428596,-0.022842822575772536,-0.05465627535827574
sanitario_compartido,0.15729480042935123,0.08712972673199784,-0.015451171931213196,0.07967651878306789,-0.002966789303123454,1.0,0.2752085802047157,-0.0233813178314813,0.14439089468184835,0.01793108923642173,0.026274975165487786,0.05707337802390859,0.04532878657048854,-0.14849851672910083,-0.028114180396940282,0.014841317662884133,0.02235110840119829,-0.07071789357981044,-0.06605102984397664,-0.18430967427527592,-0.19516574962487165,-0.08139135298037468,0.007753549042912063,0.047711112511361495,0.07085376013206131,-0.10590270365765396,-0.3096592525028004,-0.11162293827579815,0.005144808801667809
conserva_agua,0.23586103200292866,0.2216849933895402,0.22495929736268944,0.2777825942548884,0.04709272820560623,0.2752085802047157,1.0,0.35804191715432965,0.26334087991618155,0.06830619332080065,0.07870310458437257,0.028116536039967395,0.1575947074638607,0.3595021590849921,-0.0031183020411350956,0.023381149015770826,0.05274677712766523,-0.019499100316702732,-0.07776890318503712,-0.14448356495908135,-0.19766600133198806,-0.08812913669998071,-0.19655280463652236,-0.17466865166621223,-0.09525913343807342,-0.28189728069716663,-0.5364127618110623,-0.2284319428926168,-0.10092357848905695
vivienda_techo,0.1800692840970913,0.15501316499598983,0.21248616096242068,0.2731065196579218,0.06868708513999316,-0.0233813178314813,0.35804191715432965,1.0,0.3217774495575002,0.09060229502017138,0.08703067740007281,-0.03425132240317576,0.12900493409749642,0.13054363565131663,-0.00022348058022296155,0.011772849100028323,-0.03200287838572207,-0.059303284234682285,-0.09418499567416874,-0.10431014497944732,-0.03975253884498992,-0.0735017230376238,-0.474523763846681,-0.10120270831620344,-0.15667088907484206,-0.20855721050785198,-0.5436611342946669,-0.18846760511973645,-0.09943784375433538
prueba_cloro,0.15234034085465797,0.14166630253406762,0.1262731201837989,0.18467784438384144,0.025388800383694194,0.14439089468184835,0.26334087991618155,0.3217774495575002,1.0,0.046428172296740663,0.06481017007831273,0.044000596882598116,0.0734957943069261,-0.004569116835798876,0.010398567130760733,0.0162737158197261,0.016148279044181268,-0.015167732541035126,-0.04838162816106141,-0.0751576854306944,-0.08241436662223742,-0.04047746877177608,-0.33383793717549093,-0.07784581245286462,-0.046428437604283175,-0.15642773347260042,-0.34800470134581823,-0.14942524998751433,-0.09041468797451116
agua_procedencia_1,0.03833733360318103,-0.009753239956576076,-0.01208153872778193,0.056133138845997146,0.004220769752620092,0.01793108923642173,0.06830619332080065,0.09060229502017138,0.046428172296740663,1.0,0.8578397812216313,0.04804617623748538,0.10089851776299784,-0.006592320364311137,0.020340026660088092,-0.006694463533650014,0.04255585580198918,0.0069861699196508914,-0.003949489464227533,-0.07208421296534762,-0.07677989320283891,-0.24615415273323207,-0.06941697454582728,0.006445104409505822,0.04899673346697411,-0.08472066041821684,-0.1127124690090633,-0.08757467866137406,-0.00563900433240261
conexión_sanitario_1,0.06413604750534904,0.012162154002808161,0.006955538782802888,0.08782930992116537,0.0350383134951569,0.026274975165487786,0.07870310458437257,0.08703067740007281,0.06481017007831273,0.8578397812216313,1.0,0.05647829030378768,0.12146108078328836,0.004475097726670523,0.0057912561977779276,0.02617381676303333,0.02717618512066557,-0.00042554363675554463,-0.02309513231474701,-0.07819033837701028,-0.0809092931869786,-0.24348906372684878,-0.06299147912300408,-0.002334681536839595,0.05866031239640958,-0.10438547797195198,-0.12437298437553578,-0.0877134540388782,-0.018471321253894602
casos,0.014943745413912893,0.09324226013507494,0.11870858738797542,0.0913043081731228,-0.10790267920046967,0.05707337802390859,0.028116536039967395,-0.03425132240317576,0.044000596882598116,0.04804617623748538,0.05647829030378768,1.0,0.22927664551649718,0.015899660059111753,-0.007566286585572647,0.03835904408823723,0.33805406212440275,0.32086076778639305,0.29260905089564987,0.11963839161558684,-0.1143282288846786,-0.07527861837458709,0.018956060355012242,0.02361061783859766,0.1614359871799316,-0.07476579803395166,-0.02965298583669763,0.11313806394200118,0.23893028972871716
separacion_basura,0.0741254016056244,0.16598863187588672,0.16393366698610165,0.21562164984007945,0.021528093688185423,0.04532878657048854,0.1575947074638607,0.12900493409749642,0.0734957943069261,0.10089851776299784,0.12146108078328836,0.22927664551649718,1.0,0.0827959984874388,0.04355371236987808,0.04540938745008313,0.16475351941029692,0.10420707603611462,0.08864006537436984,0.22148374339829432,-0.12750837888514985,-0.1137264631751304,-0.03911026181210051,-0.005302415450473943,0.10631784132169837,-0.17818960409776738,-0.26090502645098046,-0.10053199139356936,0.04178426709053119
purificacion_agua,-0.020769156844196474,0.031861267523447936,0.13049443134372868,0.11418514589067891,0.0562091245444514,-0.14849851672910083,0.3595021590849921,0.13054363565131663,-0.004569116835798876,-0.006592320364311137,0.004475097726670523,0.015899660059111753,0.0827959984874388,1.0,0.03566645004881494,0.0068080707059665025,0.10255735003860586,0.031417182247809414,0.008334820193002688,0.037194023376689894,-0.01620864571554706,0.024957692004003038,-0.042121663028861514,-0.10239578038314882,-0.026386365250252806,-0.09933235439175282,-0.10825193792167634,-0.16898899869077302,-0.0845683083775037
pluvio_min,-0.03700862580477887,-0.028807416054017418,0.004464718533277881,-0.030480258932107488,-0.13835682477085404,-0.028114180396940282,-0.0031183020411350956,-0.00022348058022296155,0.010398567130760733,0.020340026660088092,0.0057912561977779276,-0.007566286585572647,0.04355371236987808,0.03566645004881494,1.0,0.021437299840547312,0.23742780300425434,0.22553956911222175,0.21604154042718202,0.002147238616108922,0.005487379646633987,-0.011370500102490093,0.001030213801557674,-0.02041670823119872,0.05193757261399151,0.0352964790670829,0.011316514559442577,-0.06260618009077258,0.0520127370366271
