,Año,Semana,Ubigeo,casos,viento_prom,barrido_calle,separacion_basura,exposicion_basurales,exposicion_precipicios,exposicion_deslizamientos,agua_potable,sanitario_compartido,conserva_agua,purificacion_agua
155,2021,4,70101,1.0,-0.9654183570376793,0.8887757699930279,0.4485758921654702,0.1875640778712813,0.0,0.0,0.9857954545454546,0.1097251959369805,0.9737127089818562,0.9836697390778278
161,2021,4,150110,1.0,-0.9654183570376793,0.0170572916666666,0.3223982947385003,0.207792592114325,0.0,0.1893078512396694,1.0,0.1826125001801072,0.9531011417449134,0.9766009300509432
269,2021,6,150101,1.0,-1.2680383859873137,1.0,0.3359375,0.0024687742656494,4.610177911216034e-05,0.0004526862843082,1.0,0.0318601601155536,0.9978958375841666,0.9898757767174156
272,2021,6,150118,1.0,-1.1449252508503236,0.6274817651933651,0.4185862214545099,0.0853808606966037,0.0049392977190195,0.0781955788732744,0.996039072091072,0.1146955818435505,1.0,0.9923910815772412
319,2021,7,150101,1.0,-1.3088940755912428,1.0,0.2499999999999999,0.0086261334135286,0.0001675013574898,0.0016779438004077,1.0,0.0332857563780519,0.9975005100999796,0.9902946222133844
337,2021,7,150132,1.0,-0.8318081122112221,0.3169923826173825,0.475,0.1459657937248973,0.0568801500191913,0.2584033613445378,1.0,0.124758378211553,0.9914335798769872,0.9906577255297496
361,2021,8,150110,1.0,-0.7859114632250349,0.2109375,0.4811850189035917,0.1350332023982534,0.0,0.0268595041322313,1.0,0.1782401905952249,0.9546664058791772,0.97873016235633
369,2021,8,150101,1.0,-1.3244321446629679,1.0,0.1640624999999999,0.0165986319700335,0.0003388400966947,0.0034765705430605,1.0,0.0347086092528489,0.9971136842821192,0.9907049369362146
419,2021,9,150101,1.0,-1.3244321446629679,1.0,0.125,0.0245128244615604,0.0005347593582887,0.0056493645070289,1.0,0.0361287093103117,0.9967353601305856,0.99110669993313
422,2021,9,150118,1.0,-0.9654183570376793,0.575302854525529,0.3165673558090403,0.0552196775058223,0.0109749074454956,0.0237541001475221,1.0,0.1137788214629447,1.0,0.9934215849896324
456,2021,10,150106,4.0,-1.1449252508503236,0.3636997794259696,0.4107996249246539,0.0098356785006009,0.0010712874390919,0.0089019271955217,0.9923364292273384,0.0672000536058152,0.9187957216504442,0.9647376276473684
458,2021,10,150107,2.0,-1.3244321446629679,0.6334587974166145,0.3332268781836762,0.0222077653453883,0.0074356365704176,0.0227781035640402,0.991404958677686,0.0802497728411718,0.9094553411704582,0.9496840453564424
